"date","time","subject","blocknum","blockcode","trialnum","trialcode","latency","timeofrating","valence_rating","videoindex","videoname"
"2022-01-07","03:06:11","NivaM","2","listenblock","1","valence","2000","2520","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","2","valence","2000","4554","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","3","valence","2000","6571","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","4","valence","2000","8587","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","5","valence","2000","10605","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","6","valence","2000","12621","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","7","valence","2000","14638","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","8","valence","2000","16654","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","9","valence","2000","18671","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","10","valence","2000","20688","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","11","valence","2000","22704","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","12","valence","2000","24721","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","13","valence","2000","26738","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","14","valence","2000","28754","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","15","valence","2000","30772","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","16","valence","2000","32789","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","17","valence","2000","34806","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","18","valence","2000","36823","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","19","valence","2000","38839","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","20","valence","2000","40856","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","21","valence","2000","42873","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","22","valence","2000","44890","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","23","valence","2000","46906","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","24","valence","2000","48923","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","25","valence","2000","50940","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","26","valence","2000","52956","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","27","valence","2000","54973","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","28","valence","2000","56990","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","29","valence","2000","59007","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","30","valence","2000","61023","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","31","valence","2000","63040","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","32","valence","2000","65057","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","33","valence","2000","67073","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","34","valence","2000","69090","25pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","35","valence","1395","70502","24pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","36","valence","169","70693","23pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","37","valence","465","71173","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","38","valence","2000","73195","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","39","valence","2000","75212","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","40","valence","2000","77229","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","41","valence","2000","79245","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","42","valence","2000","81262","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","43","valence","2000","83279","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","44","valence","2000","85295","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","45","valence","2000","87312","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","46","valence","2000","89328","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","47","valence","2000","91344","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","48","valence","2000","93360","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","49","valence","2000","95377","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","50","valence","2000","97393","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","51","valence","2000","99410","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","52","valence","2000","101425","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","53","valence","2000","103440","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","54","valence","2000","105457","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","55","valence","2000","107473","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","56","valence","2000","109490","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","57","valence","2000","111507","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","58","valence","2000","113523","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","59","valence","2000","115540","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","60","valence","2000","117557","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","61","valence","2000","119573","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","62","valence","2000","121590","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","63","valence","2000","123606","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","64","valence","2000","125623","22pct","2","P173_self_disclosure_pos2.wav"
"2022-01-07","03:06:11","NivaM","2","listenblock","65","valence","2000","127639","22pct","2","P173_self_disclosure_pos2.wav"
